place,latitude,longitude
"St. Charles, MO",38.79503345,-90.5156705
"San Diego, CA",32.824552499999996,-117.10897845000001
"Englewood, NJ",40.889512999999994,-73.97190045
"Bronx, NY",40.851659999999995,-73.84093399999999
"Brandon, MS",32.2764543,-89.98856905
"Fort Lauderdale, FL",26.1411125,-80.14556705
"St. Louis, MO",38.65310045,-90.24346200000001
"Conway, AR",35.07293165,-92.4842262
"Lima, Peru",-12.0266383,-76.98777915
"Cary, NC",35.770436499999995,-78.83030844999999
"Marion, IL",37.6721445,-88.91543845000001
"Sparks, MD",39.53093834999999,-76.64580430000001
"Fremont, CA",37.53043089999999,-122.01181879999999
"Bloomington, IL",40.473888949999996,-88.97186245
"Lewis Center, OH",40.193236299999995,-82.99781109999999
"Jacksonville Beach, FL",30.279973499999997,-81.37401154999999
"Nashville, TN",36.186640499999996,-86.78524545
"Miami, FL",25.7824075,-80.22945845000001
"Murray, KY",36.61692695,-88.323459
"Cumming, GA",34.20353195,-84.1306295
"Boston, MA",42.31434995,-70.97028399999999
"Kalamazoo, MI",42.274157949999996,-85.5971485
"Overland Park, KS",38.905671999999996,-94.68436045
"Albuquerque, NM",35.082409899999995,-106.67647944999999
"Greenville, SC",34.8331685,-82.36283045
"Jackson, TN",35.648257,-88.83860895
"Loxley, AL",30.62739745,-87.75787555
"Dallas, TX",32.82066455,-96.73155254999999
"Chapel Hill, NC",35.920958999999996,-79.03929095
"Acworth, GA",34.04154605,-84.70887354999999
"Akron, OH",41.084367050000004,-81.5129779
"Littleton, CO",39.58265705,-105.04238699999999
"Houston, TX",29.81717795,-95.40129145
"Greeneville, TN",36.172569,-82.82833994999999
"Deerfield, IL",42.1678389,-87.8525289
"Tucson, AZ",32.15591,-110.883805
"Fort Myers, FL",26.61863395,-81.83229795
"Buffalo, NY",42.89623895,-78.86444230000001
"Rockville, MD",39.0869335,-77.14614875000001
"Mount Kisco, NY",41.20450749999999,-73.73039035000001
"Shaker Heights, OH",41.4750024,-81.55043905
"Potomac, MD",39.0183485,-77.1986985
"Marietta, GA",33.94839045,-84.54237195
"Prattville, AL",32.4586889,-86.4596535
"Savannah, GA",32.0388435,-81.2002785
"Thibodaux, LA",29.793636050000003,-90.82195795000001
"Yorktown, VA",37.2356665,-76.5149864
"South Bend, IN",41.6747204,-86.2758845
"Atlanta, GA",33.7677129,-84.42060395
"Sarasota, FL",27.335867099999994,-82.5379304
"Spring, TX",30.070947899999997,-95.373129
"Raleigh, NC",35.84376795,-78.64505595
"San Antonio, TX",29.458573499999996,-98.51437645
"Rasht, Iran",37.244116600000005,49.58636274999999
"Bolivar, TN",35.25080345,-89.018059
"Leesburg, VA",39.10197855,-77.5551773
"Musanze, Rwanda",-1.50072225,29.632519299999995
"Memphis, TN",35.129186000000004,-89.97078695
"Burr Ridge, IL",41.750853500000005,-87.91903849999998
"Denver, PA",40.23374545000001,-76.14188094999999
"Evans, GA",33.5143945,-82.1417805
"Springfield, VA",38.77673095,-77.17671905
"Wilmington, NC",34.2071359,-77.87207
"Amman, Jordan",31.83576035,35.9476308
